conversation_id,created_at,full_text
1.64811E+18,Mon Apr 17 23:59:17 +0000 2023,Chibi's are on btc👀 ME!
1.64776E+18,Mon Apr 17 23:59:16 +0000 2023,"@ShaneTHazel @RepThomasMassie Bitcoin can't coexist with cbdc, the central banks can buy a large amount of the market cap and crash it.

They're not going to let it trade anymore."
1.64811E+18,Mon Apr 17 23:59:14 +0000 2023,"「BTCは最も重要なレジスタンスにいるが、人々はアルトシーズンを願っている

BTCがぶち上がりアルトがやられるか
BTCがぶち下がりアルトがやられるだろう」

だそうです"
1.6479E+18,Mon Apr 17 23:59:13 +0000 2023,@btcfork The SegWit activation marked the moment when BTC diverged from being Bitcoin.
1.64811E+18,Mon Apr 17 23:59:10 +0000 2023,@denverbitcoin Bro just let me make some money here. It’s a valid Bitcoin transaction. 😂
1.64811E+18,Mon Apr 17 23:59:10 +0000 2023,"@pana067 @BlackstarXXI Imagine, I really think we are that early and that pepe is the second coming of #btc"
1.64811E+18,Mon Apr 17 23:59:09 +0000 2023,"Nakamoto Whale ➜ SOLD
Inscription #417004

💥 SOLD! POW POW → 0.05400000 BTC ($1588.37 USD)

💦 https://t.co/RyivJnguWD

🏺 @NakamotoWhales @CatalinaWhales

Welcome to the fucking Catalina Whale Mixer! https://t.co/gYMLIMUzWR"
1.64811E+18,Mon Apr 17 23:59:09 +0000 2023,"La mayoría de la gente volverá a comprar #Bitcoin sólo hasta que llegue a nuevos máximos históricos.

Triste pero cierto."
1.64801E+18,Mon Apr 17 23:59:08 +0000 2023,@WatcherGuru If that Gary 🤡 is fired btc Will hit 100k with in 48hrs !!
1.64811E+18,Mon Apr 17 23:59:05 +0000 2023,Full send🔥🚀. $BTC  $ETH $SPY $COIN
1.64811E+18,Mon Apr 17 23:59:05 +0000 2023,Stablecoins: Aggregate Supplies #bitcoin #Crypto https://t.co/WDTXkmdJGp
1.64811E+18,Mon Apr 17 23:59:04 +0000 2023,"#BTC Dominance Nasty Rejection at the Key Resistance..!!

Pretty Bullish for #Altcoins 📈
Buy the dip 🚀 https://t.co/yvzA9pFduz"
1.644E+18,Mon Apr 17 23:59:01 +0000 2023,@wanchain_org Please add bitcoin lightning network...
1.64811E+18,Mon Apr 17 23:59:00 +0000 2023,"Candle of day 17/04/2023 closed.

Open: $ 30,328.97
High: $ 30,329.61
Low: $ 29,322.16
Close: $ 29,427.10

Change: -3.06%

#Bitcoin #Candle #BearMarket"
1.64811E+18,Mon Apr 17 23:59:00 +0000 2023,"18 Nisan BİTCOİN GÜN VERİLERİ ;
DÜŞÜŞ (AÇILIŞ FİYATINDAN HESAPLAYINIZ)
%0,5 ÜSTÜ 50%
%1 ÜSTÜ 50%
%2 ÜSTÜ 40%
%5 ÜSTÜ30%

YÜKSELİŞ 
%0,5 ÜSTÜ  100%
%1 ÜSTÜ 70%
%2 ÜSTÜ 50%
%5 ÜSTÜ10%

10 Yıllık Bitcoin gün verisidir. #Bitcoin #BTCUSDT #BTC"
1.64811E+18,Mon Apr 17 23:58:54 +0000 2023,@WallStreetSilv Not if I'm buying bitcoin and move to El Salvadors world of bitcoin
1.64796E+18,Mon Apr 17 23:58:52 +0000 2023,"@FightHaven I know you shouldn't bring a knife to a gun fight, but DAM. 

All things considered, with the energy that flurry took he might've been better off launching some possibly tainted spit from his mouth for the in light of the legal (lifelong?) consequences..."
1.64811E+18,Mon Apr 17 23:58:50 +0000 2023,@NFTwap @Ziko_btc https://t.co/ntvNTXniVv
1.64811E+18,Mon Apr 17 23:58:50 +0000 2023,"SIGNAL #YFII #YFIIUSDT :

▶ Buy now At or Under 1186.7

✏Target1= 1194.5

✏Target2= 1211.8

✏Target3= 1229.5

✗ Stop Loss= 1164.0

⚠ Be cautious pals!

Always Buy the dip 💰

#SPOT #BTC #ビットコイン

To Subscribe to our VIP SIGNALS channel, PM ME! https://t.co/QUrRDQ6FCZ"
1.64811E+18,Mon Apr 17 23:58:44 +0000 2023,you KNOW how much I love this @BTC_DeGods right?
1.64805E+18,Mon Apr 17 23:58:43 +0000 2023,@Cello77352936 $inj is next btc ❤️🚀🚀🤑🥷
1.64792E+18,Mon Apr 17 23:58:39 +0000 2023,@Crypto__emily I pick bitcoin
1.63395E+18,Mon Apr 17 23:58:38 +0000 2023,"@anilsaidso Amazing, thank you for your work."
1.6481E+18,Mon Apr 17 23:58:38 +0000 2023,@CryptoProject6 My answer for this question is NO. Crypto coins are always volatile and keep changing by change in price of bitcoin nd other expensive coins. So I don't this level is going to be stable.
1.64806E+18,Mon Apr 17 23:58:33 +0000 2023,@ShidoGlobal @ShidoGlobal please don’t reveal/disclose anything until BTC close to ATH.
1.64811E+18,Mon Apr 17 23:58:32 +0000 2023,"No trigger for longs on btc atm, but I am looking for 2 things to hop in 

1) run of mday into a deeper test of hourly demand (stop clear, below 28.8) 

2) reclaim of previous range low, which confirm this as a deviation 

Lets see what we get. 

https://t.co/CtssVyuGWF https://t.co/mg0UM7A9zl"
1.64811E+18,Mon Apr 17 23:58:30 +0000 2023,#Bitcoin hitting lower level 1st band 2hour timeframe- #BuySignal @ 29487.65 #btc #bitcoin
1.648E+18,Mon Apr 17 23:58:26 +0000 2023,@BchainCrusader @BitApes_btc LFG! #ordinals #bitapes https://t.co/fFkiajK9VF
1.64811E+18,Mon Apr 17 23:58:25 +0000 2023,"#Bitcoin is the next #Bitcoin
Few"
