conversation_id,created_at,full_text,Processed_Tweet
1.47063e+18,2021-12-14T06:01:03.000Z,"Buy the dip... at $30,000. 😂 https://t.co/QwSh8VkXlU",buy dip 30000
1.4507e+18,2021-10-20T05:28:31.000Z,#Bitcoin is coming... https://t.co/ZNH6fUX2Sa,bitcoin coming
1.34725e+18,2021-01-07T18:18:08.000Z,"$40,000!! 🔥",40000
1.49364e+18,2022-02-15T17:45:20.000Z,"$44,000.",44000
1.46426e+18,2021-11-26T15:43:42.000Z,https://t.co/vhcvTk2p4k,
1.36354e+18,2021-02-21T17:29:31.000Z,"$57,850.",57850
1.42494e+18,2021-08-10T04:02:06.000Z,"$46,000.",46000
1.71936e+18,2023-10-31T14:36:13.000Z,https://t.co/nh5hiGcN3E,
1.47998e+18,2022-01-09T00:39:36.000Z,"Jan, 8th 2021: $40,800

Jan, 8th 2022: $40,800

#Bitcoin seems like a stable currency with juicy vol to sell.",jan 8th 2021 40800 jan 8th 2022 40800 bitcoin seems like stable currency juicy vol sell
1.36293e+18,2021-02-20T00:47:27.000Z,"$56,250.",56250
1.51159e+18,2022-04-06T06:40:34.000Z,It is never too late. https://t.co/cxNpMqq4wC,never late
1.44523e+18,2021-10-05T03:28:54.000Z,The sooner the better! https://t.co/e7ekuBBc5W,sooner better
1.41785e+18,2021-07-21T13:53:16.000Z,"$31,500.",31500
1.47294e+18,2021-12-20T14:46:23.000Z,No one uses #Bitcoin... https://t.co/gEf2j0x3Co,one us bitcoin
1.38181e+18,2021-04-13T03:24:32.000Z,"$60,900.",60900
1.48253e+18,2022-01-16T01:49:22.000Z,https://t.co/14bFOuJOHD,
1.42766e+18,2021-08-17T16:06:59.000Z,#Bitcoin becomes legal tender in El Salvador in 22 days.,bitcoin becomes legal tender el salvador 22 day
1.54398e+18,2022-07-04T15:12:02.000Z,"As you celebrate July 4th, remember these inspiring words about this great nation from the @POTUS. https://t.co/0ejLMcg2AK",celebrate july 4th remember inspiring word great nation
1.52499e+18,2022-05-13T05:41:18.000Z,"The $BTC all-time high is $68,990.

An 80% draw-down is $13,798. $27k is about halfway there.

This is #Bitcoin. Be prepared. ❄️",btc alltime high 68990 80 drawdown 13798 27k halfway bitcoin prepared
1.36437e+18,2021-02-24T00:35:44.000Z,https://t.co/fcUKOjrhd7,
1.36969e+18,2021-03-10T16:33:05.000Z,"$56,250.",56250
1.43892e+18,2021-09-17T17:19:58.000Z,"From 1980 to 2020 the @McDonalds Big Mac gone from $0.50 to $8 and lost ~40% of its size. 2% transitory inflation, right? https://t.co/2AqgtuvtAb",1980 2020 big mac gone 050 8 lost 40 size 2 transitory inflation right
1.44889e+18,2021-10-15T05:49:54.000Z,"$59,600.",59600
1.36278e+18,2021-02-19T15:05:53.000Z,"$53,000.",53000
